Airline,Delay
DL,0
DL,0
OO,0
OO,1
UA,1
UA,1
UA,0
YV,0
YV,1
UA,0
OO,0
OO,1
AA,0
AA,0
AA,0
AS,0
B6,1
DL,0
DL,0
DL,0
DL,1
DL,1
DL,0
EV,0
HA,0
OO,0
US,1
YV,0
YV,0
YV,0
OO,1
OO,0
OO,0
UA,0
UA,0
AA,0
HA,0
US,0
DL,0
AA,0
B6,1
DL,0
DL,0
DL,0
FL,0
HA,0
UA,1
UA,0
OO,0
UA,1
UA,0
AA,0
AS,0
DL,1
FL,0
US,0
OO,0
UA,0
OO,0
AA,1
B6,1
B6,1
DL,1
UA,0
US,1
DL,0
DL,1
UA,0
AS,0
UA,1
B6,1
UA,0
AA,0
DL,0
DL,0
US,0
B6,1
DL,1
UA,0
CO,1
B6,0
AA,1
B6,1
B6,1
B6,0
DL,1
FL,0
US,1
US,0
UA,0
CO,0
US,0
AA,1
AA,0
AA,0
B6,1
DL,0
FL,0
B6,1
B6,1
CO,0
FL,0
FL,0
UA,1
US,1
